Pos,Cidade,IDH,IDH-renda,IDH-longevidade,IDH-educação
1º,São Caetano do Sul,0862,0891,0887,0811
2º,Águas de São Pedro,0854,0849,0890,0825
3º,Santos,0840,0861,0852,0807
4º,Jundiaí,0822,0834,0866,0768
5º,Valinhos,0819,0848,0850,0763
6º,Vinhedo,0817,0840,0878,0739
7º,Araraquara,0815,0788,0877,0782
7º,Santo André,0815,0819,0861,0769
9º,Santana de Parnaíba,0814,0876,0849,0725
10º,Ilha Solteira,0812,0786,0871,0782
11º,Americana,0811,0800,0876,0760
12º,São José dos Campos,0807,0804,0855,0764
13º,Presidente Prudente,0806,0788,0858,0774
14º,São Bernardo do Campo,0805,0807,0861,0752
15º,São Paulo,0805,0843,0855,0725
16º,Assis,0805,0771,0865,0781
17º,Campinas,0805,0829,0860,0731
18º,São Carlos,0805,0788,0863,0766
19º,Rio Claro,0803,0784,0862,0766
20º,Bauru,0801,0800,0854,0752
21º,Pirassununga,0801,0789,0884,0736
22º,Taubaté,0800,0778,0883,0746
22º,Ribeirão Preto,0800,0820,0844,0739
22º,Botucatu,0800,0790,0869,0746
IDH-M alto,IDH-M alto,IDH-M alto,IDH-M alto,IDH-M alto,IDH-M alto
25º,Marília,0798,0768,0854,0776
25º,Sorocaba,0798,0792,0843,0762
25º,Guaratinguetá,0798,0764,0886,0751
28º,Fernandópolis,0797,0767,0872,0758
28º,São João da Boa Vista,0797,0776,0871,0749
28º,São José do Rio Preto,0797,0801,0846,0748
31º,Paulínia,0795,0800,0864,0727
32º,Holambra,0793,0815,0878,0698
33º,Nova Odessa,0791,0755,0861,0762
33º,Saltinho,0791,0771,0857,0750
35º,Votuporanga,0790,0772,0857,0744
35º,Santa Cruz da Conceição,0790,0830,0876,0679
35º,Adamantina,0790,0772,0852,0750
38º,Barretos,0789,0762,0875,0738
38º,Cândido Rodrigues,0789,0747,0863,0762
40º,Barra Bonita,0788,0762,0869,0739
40º,Cruzeiro,0788,0742,0871,0758
40º,Caçapava,0788,0754,0858,0755
40º,Mairiporã,0788,0767,0881,0723
40º,Indaiatuba,0788,0791,0837,0738
40º,Araçatuba,0788,0782,0841,0744
46º,Espírito Santo do Pinhal,0787,0784,0872,0712
47º,Pompeia,0786,0750,0864,0748
47º,Lins,0786,0762,0869,0733
47º,Barueri,0786,0791,0866,0708
50º,Piracicaba,0785,0797,0848,0717
50º,Tremembé,0785,0769,0873,0720
50º,Amparo,0785,0780,0871,0711
50º,Catanduva,0785,0767,0853,0740
50º,Monte Aprazível,0785,0781,0861,0720
55º,Arujá,0784,0761,0866,0730
55º,Mogi Mirim,0784,0767,0879,0715
55º,Santa Fé do Sul,0784,0763,0840,0751
55º,Ribeirão Pires,0784,0749,0847,0760
60º,Mogi das Cruzes,0783,0762,0851,0740
61º,Cerquilho,0782,0758,0854,0739
62º,Águas da Prata,0781,0750,0886,0716
62º,Araras,0781,0763,0859,0728
62º,Caieiras,0781,0740,0861,0749
62º,Santa Bárbara d'Oeste,0781,0752,0867,0731
66º,Franca,0780,0749,0842,0753
66º,Bebedouro,0780,0756,0853,0735
66º,Cotia,0780,0789,0851,0707
66º,Birigui,0780,0743,0869,0734
66º,Boituva,0780,0757,0861,0728
66º,Orlândia,0780,0765,0882,0703
66º,Salto,0780,0755,0837,0751
73º,Andradina,0779,0762,0885,0702
73º,Piratininga,0779,0762,0859,0723
75º,Tietê,0778,0764,0884,0698
75º,Ourinhos,0778,0753,0859,0727
75º,Itatiba,0778,0788,0844,0708
75º,Jaboticabal,0778,0778,0851,0710
75º,Jaú,0778,0768,0886,0693
80º,Louveira,0777,0783,0861,0697
80º,José Bonifácio,0777,0752,0869,0717
80º,Jacareí,0777,0749,0837,0749
83º,Iracemápolis,0776,0742,0863,0729
83º,Bragança Paulista,0776,0772,0861,0704
83º,Osasco,0776,0776,0840,0718
83º,Dracena,0776,0752,0842,0737
83º,Araçoiaba da Serra,0776,0751,0860,0723
83º,Pirapozinho,0776,0740,0863,0733
83º,Jales,0776,0750,0855,0730
90º,Santa Rita do Passa Quatro,0775,0764,0887,0686
90º,Limeira,0775,0761,0852,0719
92º,São José do Rio Pardo,0774,0744,0868,0717
92º,Pedrinhas Paulista,0774,0749,0837,0739
92º,Cruzália,0774,0698,0853,0778
92º,Mogi Guaçu,0774,0740,0852,0736
96º,Olímpia,0773,0737,0867,0736
96º,Pindamonhangaba,0773,0745,0843,0736
96º,Auriflama,0773,0746,0840,0738
96º,Matão,0773,0766,0847,0713
96º,Sebastianópolis do Sul,0773,0748,0835,0740
96º,Itu,0773,0782,0854,0692
96º,Santana da Ponte Pensa,0773,0751,0840,0733
103º,Monções,0772,0731,0814,0773
103º,Sales Oliveira,0772,0738,0845,0739
103º,Santa Salete,0772,0712,0864,0748
103º,São Sebastião,0772,0747,0875,0703
107º,Poá,0771,0710,0856,0754
107º,Maracaí,0771,0711,0850,0758
107º,Tupã,0771,0764,0852,0704
110º,Vargem Grande Paulista,0770,0755,0884,0683
110º,Santa Rosa de Viterbo,0770,0746,0868,0704
110º,Macatuba,0770,0763,0859,0697
110º,Oriente,0770,0717,0837,0761
110º,Ouroeste,0770,0717,0866,0736
115º,Campo Limpo Paulista,0769,0733,0840,0739
115º,Tupi Paulista,0769,0762,0835,0715
115º,Garça,0769,0737,0849,0728
115º,Cosmópolis,0769,0746,0876,0697
115º,Pedreira,0769,0750,0864,0701
115º,Taboão da Serra,0769,0742,0863,0710
121º,Monte Alto,0768,0746,0859,0707
121º,São Vicente,0768,0738,0857,0716
121º,Regente Feijó,0768,0735,0818,0752
121º,São Roque,0768,0765,0863,0687
121º,Igarapava,0768,0809,0835,0671
121º,Bilac,0768,0743,0845,0722
127º,Orindiúva,0767,0719,0824,0762
127º,Serra Negra,0767,0764,0873,0676
127º,Votorantim,0767,0720,0838,0747
127º,Avaré,0767,0751,0866,0695
131º,Mauá,0766,0721,0852,0733
131º,Lorena,0766,0736,0856,0713
131º,Alumínio,0766,0729,0841,0732
131º,Poloni,0766,0736,0853,0717
131º,Cedral,0766,0749,0872,0689
131º,São Simão,0766,0732,0852,0722
131º,Pereira Barreto,0766,0728,0845,0732
138º,Nova Europa,0765,0718,0869,0718
138º,Suzano,0765,0708,0873,0723
138º,Atibaia,0765,0786,0851,0670
138º,Ituverava,0765,0768,0841,0694
142º,Cachoeira Paulista,0764,0733,0837,0728
142º,Rosana,0764,0749,0818,0728
142º,Lençóis Paulista,0764,0743,0837,0717
145º,Itapetininga,0763,0728,0864,0705
145º,Guarulhos,0763,0746,0831,0717
145º,Buritama,0763,0736,0839,0720
145º,Gabriel Monteiro,0763,0721,0809,0762
145º,Presidente Venceslau,0763,0749,0837,0708
145º,Guararapes,0763,0727,0840,0726
151º,Itapira,0762,0750,0852,0692
151º,Itupeva,0762,0750,0844,0699
151º,Osvaldo Cruz,0762,0740,0837,0713
151º,Mococa,0762,0756,0827,0709
151º,Mirassol,0762,0748,0846,0698
151º,Santa Cruz do Rio Pardo,0762,0744,0867,0686
151º,Paraguaçu Paulista,0762,0717,0836,0739
151º,Sumaré,0762,0744,0845,0705
151º,São Joaquim da Barra,0762,0740,0847,0706
160º,Sertãozinho,0761,0768,0855,0672
160º,Batatais,0761,0766,0840,0685
160º,Indiana,0761,0714,0843,0733
160º,Santa Rita d'Oeste,0761,0711,0839,0740
164º,Itirapuã,0760,0735,0832,0743
164º,Taiúva,0760,0732,0835,0718
164º,Santa Adélia,0760,0750,0835,0702
164º,Jandira,0760,0738,0841,0706
164º,Descalvado,0760,0740,0865,0687
164º,Estrela d'Oeste,0760,0712,0873,0705
169º,Várzea Paulista,0759,0720,0863,0705
169º,Rubineia,0759,0713,0844,0726
169º,Caraguatatuba,0759,0735,0845,0705
169º,Monte Alegre do Sul,0759,0752,0858,0678
169º,Rio das Pedras,0759,0741,0842,0700
169º,Inúbia Paulista,0759,0688,0849,0750
169º,Taquaral,0759,0742,0823,0716
169º,Penápolis,0759,0748,0859,0680
177º,Piraju,0758,0740,0843,0699
177º,Cordeirópolis,0758,0754,0858,0674
177º,Fernando Prestes,0758,0746,0859,0680
177º,Álvares Machado,0758,0712,0834,0732
177º,Porto Feliz,0758,0737,0836,0706
182º,Diadema,0757,0717,0844,0716
182º,Águas de Santa Bárbara,0757,0744,0840,0695
182º,Piquete,0757,0711,0823,0740
182º,Colina,0757,0720,0845,0712
182º,Santo Antônio do Aracanguá,0757,0710,0840,0728
182º,Presidente Bernardes,0757,0718,0839,0719
188º,Nova Castilho,0756,0694,0823,0755
188º,Cravinhos,0756,0737,0857,0683
188º,Hortolândia,0756,0716,0859,0703
188º,Bálsamo,0756,0746,0835,0695
188º,Pirangi,0756,0735,0837,0701
188º,Ilhabela,0756,0739,0843,0693
188º,Jambeiro,0756,0727,0860,0690
195º,Aparecida,0755,0735,0828,0706
195º,São Pedro,0755,0741,0863,0674
195º,Brodowski,0755,0738,0864,0675
195º,Pongaí,0755,0727,0844,0701
199º,Analândia,0754,0745,0861,0668
199º,Neves Paulista,0754,0737,0823,0707
199º,Vera Cruz,0754,0722,0830,0715
199º,Mongaguá,0754,0719,0854,0699
199º,Registro,0754,0718,0851,0702
199º,Praia Grande,0754,0744,0834,0692
199º,Corumbataí,0754,0728,0841,0700
199º,Boraceia,0754,0723,0866,0685
207º,Guaíra,0753,0759,0824,0683
207º,Novo Horizonte,0753,0741,0865,0665
207º,Monte Azul Paulista,0753,0733,0843,0690
207º,Santo Anastácio,0753,0725,0854,0689
207º,Tarumã,0753,0738,0852,0680
207º,Magda,0753,0724,0823,0717
207º,Três Fronteiras,0753,0710,0829,0726
207º,Ipeúna,0753,0737,0845,0685
207º,Palmeira d'Oeste,0753,0720,0829,0714
216º,Tatuí,0752,0734,0842,0688
216º,Marapoama,0752,0736,0852,0679
216º,Lucélia,0752,0728,0841,0695
219º,Turiúba,0751,0713,0824,0721
219º,Tapiratiba,0751,0703,0870,0692
219º,Indiaporã,0751,0714,0835,0710
219º,Porto Ferreira,0751,0736,0827,0696
219º,Mirandópolis,0751,0732,0869,0665
219º,Catiguá,0751,0734,0852,0676
219º,Sales,0751,0708,0859,0697
219º,Ubatuba,0751,0741,0841,0679
219º,Américo Brasiliense,0751,0709,0852,0701
219º,Guarujá,0751,0729,0854,0679
219º,Nhandeara,0751,0729,0835,0672
219º,Rancharia,0751,0720,0861,0683
219º,Bastos,0751,0696,0848,0718
232º,Presidente Epitácio,0750,0714,0845,0700
232º,Bariri,0750,0736,0867,0662
232º,Capivari,0750,0744,0848,0669
232º,São João do Pau-d'Alho,0750,0714,0854,0692
236º,Paraíso,0749,0751,0837,0668
236º,Artur Nogueira,0749,0745,0827,0681
236º,União Paulista,0749,0697,0863,0699
236º,Terra Roxa,0749,0732,0838,0684
236º,Campos do Jordão,0749,0761,0852,0648
236º,Carapicuíba,0749,0721,0842,0693
236º,Embu-Guaçu,0749,0713,0834,0708
236º,Ipuã,0749,0759,0848,0654
236º,Oscar Bressane,0749,0713,0823,0715
236º,Rio Grande da Serra,0749,0684,0823,0745
236º,Peruíbe,0749,0730,0854,0675
236º,Pirajuí,0749,0734,0853,0672
248º,Taquaritinga,0748,0727,0827,0696
248º,Tanabi,0748,0735,0829,0687
248º,São João de Iracema,0748,0682,0833,0738
248º,Duartina,0748,0716,0837,0698
252º,Ribeirão do Sul,0747,0753,0818,0676
252º,Elisiário,0747,0711,0825,0712
252º,Floreal,0747,0710,0808,0726
252º,Ibitinga,0747,0738,0846,0726
252º,Sud Mennucci,0747,0743,0809,0694
252º,General Salgado,0747,0734,0808,0702
252º,Potirendaba,0747,0737,0857,0661
252º,Cândido Mota,0747,0701,0845,0704
260º,Borá,0746,0712,0863,0675
260º,Bady Bassitt,0746,0737,0805,0701
260º,Palmital,0746,0727,0814,0702
260º,Urânia,0746,0727,0804,0709
260º,Nuporanga,0746,0730,0866,0656
265º,Echaporã,0745,0719,0834,0690
265º,Urupês,0745,0741,0817,0683
265º,Rafard,0745,0722,0823,0696
265º,Itanhaém,0745,0716,0823,0701
265º,Agudos,0745,0705,0845,0694
265º,Américo de Campos,0745,0715,0817,0708
265º,Iacanga,0745,0721,0851,0675
265º,Águas de Lindóia,0745,0725,0846,0675
265º,Junqueirópolis,0745,0727,0860,0662
274º,Mendonça,0744,0720,0863,0663
274º,Vista Alegre do Alto,0744,0726,0840,0676
274º,Dumont,0744,0720,0849,0674
274º,Arealva,0744,0718,0840,0683
274º,Itápolis,0744,0738,0836,0667
274º,Torrinha,0744,0734,0852,0658
274º,Bento de Abreu,0744,0706,0820,0712
274º,Leme,0744,0729,0851,0665
274º,São Manuel,0744,0735,0805,0695
283º,Mira Estrela,0743,0697,0806,0731
283º,Promissão,0743,0724,0850,0666
283º,Guatapará,0743,0724,0822,0688
283º,Santa Cruz da Esperança,0743,0719,0832,0686
283º,Nova Luzitânia,0743,0705,0808,0719
283º,Macaubal,0743,0720,0844,0676
283º,Mairinque,0743,0721,0831,0684
290º,Lindóia,0742,0722,0864,0654
290º,Bocaina,0742,0741,0840,0656
290º,Cafelândia,0742,0714,0867,0661
290º,Itapecerica da Serra,0742,0699,0852,0687
290º,Pedranópolis,0742,0698,0854,0684
290º,Dolcinópolis,0742,0699,0825,0709
290º,Lourdes,0742,0697,0816,0717
297º,Monte Castelo,0741,0706,0814,0709
297º,Jumirim,0741,0721,0863,0655
297º,Miguelópolis,0741,0712,0863,0661
297º,João Ramalho,0741,0701,0818,0710
297º,Anhumas,0741,0683,0845,0706
297º,Teodoro Sampaio,0741,0699,0856,0679
297º,Dirce Reis,0741,0686,0842,0704
297º,Alfredo Marcondes,0741,0682,0840,0710
297º,Motuca,0741,0685,0859,0691
306º,Estiva Gerbi,0740,0716,0815,0695
306º,Brotas,0740,0724,0815,0688
306º,Santópolis do Aguapeí,0740,0680,0830,0719
306º,Macedônia,0740,0705,0852,0675
306º,Ibirá,0740,0741,0841,0650
306º,Rifaina,0740,0713,0824,0690
306º,Estrela do Norte,0740,0693,0818,0714
306º,Aramina,0740,0723,0856,0656
314º,Pederneiras,0739,0738,0812,0673
314º,Guaiçara,0739,0697,0853,0679
314º,Santa Mercedes,0739,0683,0847,0699
314º,Piracaia,0739,0758,0851,0625
314º,Manduri,0739,0730,0818,0675
314º,Nova Granada,0739,0727,0818,0680
314º,Viradouro,0739,0717,0823,0683
321º,Quatá,0738,0706,0814,0700
321º,Nova Aliança,0738,0710,0826,0684
321º,Santa Isabel,0738,0700,0834,0689
321º,Dourado,0738,0718,0811,0689
321º,Cabreúva,0738,0717,0828,0678
321º,Ferraz de Vasconcelos,0738,0691,0828,0703
321º,Onda Verde,0738,0693,0863,0671
