Pos,Cidade,IDH,IDH-renda,IDH-longevidade,IDH-educação
321º,Santa Ernestina,0738,0716,0802,0699
321º,Mirassolândia,0738,0704,0829,0690
330º,Vargem Grande do Sul,0737,0721,0863,0643
330º,Pindorama,0737,0726,0842,0654
330º,Santa Gertrudes,0737,0723,0847,0654
330º,Roseira,0737,0691,0823,0704
330º,Cubatão,0737,0716,0821,0681
330º,Santa Lúcia,0737,0696,0818,0703
330º,Parapuã,0737,0693,0830,0696
330º,Guaraci,0737,0698,0840,0682
330º,Braúna,0737,0725,0830,0664
339º,Pariquera-Açu,0736,0682,0862,0678
339º,Iepê,0736,0700,0814,0700
339º,Conchas,0736,0725,0837,0658
339º,Charqueada,0736,0720,0820,0675
339º,Turmalina,0736,0724,0817,0675
339º,Pereiras,0736,0717,0873,0637
345º,Itapevi,0735,0687,0855,0677
345º,Santa Branca,0735,0706,0828,0678
345º,Glicério,0735,0735,0858,0630
345º,Embu das Artes,0735,0700,0839,0676
345º,Aspásia,0735,0699,0864,0657
345º,Nova Independência,0735,0675,0827,0711
345º,Tabapuã,0735,0726,0820,0666
345º,Jardinópolis,0735,0728,0853,0640
345º,Buritizal,0735,0743,0830,0643
345º,Presidente Alves,0735,0711,0811,0689
345º,Valentim Gentil,0735,0708,0810,0692
356º,Cássia dos Coqueiros,0734,0680,0864,0673
356º,Cristais Paulista,0734,0682,0802,0682
356º,Divinolândia,0734,0720,0850,0645
356º,Cajobi,0734,0714,0822,0674
356º,Rincão,0734,0701,0826,0682
356º,Bernardino de Campos,0734,0713,0838,0662
362º,Lucianópolis,0733,0736,0809,0662
362º,Jarinu,0733,0723,0826,0659
362º,Ariranha,0733,0730,0813,0663
362º,Santa Clara d'Oeste,0733,0712,0804,0687
362º,Monte Mor,0733,0713,0863,0639
362º,Bananal,0733,0693,0872,0653
362º,Pradópolis,0733,0738,0822,0650
362º,Iacri,0733,0701,0822,0655
370º,Itapeva,0732,0702,0803,0697
370º,Paranapuã,0732,0712,0842,0655
370º,Fartura,0732,0699,0867,0648
370º,Palestina,0732,0717,0848,0645
370º,Santo Expedito,0732,0664,0828,0714
370º,Salesópolis,0732,0687,0829,0690
370º,Quintana,0732,0689,0811,0703
370º,Guarani d'Oeste,0732,0682,0806,0714
370º,Piacatu,0732,0681,0843,0684
370º,Pontes Gestal,0732,0705,0805,0690
370º,Engenheiro Coelho,0732,0720,0815,0668
381º,Tambaú,0731,0729,0858,0624
381º,Castilho,0731,0688,0827,0686
381º,Marinópolis,0731,0681,0825,0694
381º,Guararema,0731,0729,0817,0656
381º,Meridiano,0731,0717,0817,0667
381º,Luiz Antônio,0731,0709,0822,0671
381º,Franco da Rocha,0731,0702,0852,0654
388º,Altinópolis,0730,0726,0843,0635
388º,Casa Branca,0730,0727,0835,0640
388º,Mineiros do Tietê,0730,0719,0823,0658
388º,Sagres,0730,0692,0830,0677
388º,Embaúba,0730,0723,0840,0641
388º,Óleo,0730,0713,0858,0637
388º,Borborema,0730,0710,0831,0658
388º,Bertioga,0730,0727,0817,0654
388º,Patrocínio Paulista,0730,0696,0826,0678
388º,Adolfo,0730,0710,0844,0648
388º,Itajobi,0730,0727,0832,0644
388º,Ipiguá,0730,0696,0839,0666
400º,Lavrinhas,0729,0665,0823,0707
400º,Cerqueira César,0729,0710,0821,0666
400º,Serrana,0729,0713,0835,0650
400º,Salto de Pirapora,0729,0699,0834,0665
400º,Laranjal Paulista,0729,0732,0829,0639
400º,Socorro,0729,0737,0828,0634
400º,Caiabu,0729,0682,0823,0691
400º,Zacarias,0729,0695,0826,0674
400º,Chavantes,0729,0713,0828,0655
409º,Álvares Florence,0728,0701,0806,0683
409º,Cajamar,0728,0713,0810,0668
409º,São Lourenço da Serra,0728,0704,0823,0666
409º,Reginópolis,0728,0715,0817,0660
409º,Santa Albertina,0728,0716,0809,0665
409º,Tuiuti,0728,0702,0871,0630
409º,Guaimbê,0728,0675,0830,0689
409º,Sabino,0728,0708,0813,0671
409º,Santa Cruz das Palmeiras,0728,0746,0815,0635
418º,Ubirajara,0727,0689,0829,0674
418º,Pirapora do Bom Jesus,0727,0679,0810,0698
418º,Herculândia,0727,0680,0809,0698
418º,Flora Rica,0727,0668,0796,0723
418º,Emilianópolis,0727,0690,0805,0691
418º,Igaraçu do Tietê,0727,0691,0838,0664
418º,Ipaussu,0727,0713,0828,0650
418º,Pardinho,0727,0718,0821,0652
426º,Nova Guataporanga,0726,0707,0842,0644
426º,Tarabai,0726,0666,0823,0697
426º,Murutinga do Sul,0726,0703,0847,0643
426º,Iguape,0726,0691,0847,0653
430º,Clementina,0725,0704,0821,0660
430º,Barrinha,0725,0711,0829,0646
430º,Paulo de Faria,0725,0721,0800,0662
430º,Valparaíso,0725,0719,0825,0643
430º,Ilha Comprida,0725,0696,0821,0660
430º,Guapiaçu,0725,0728,0866,0605
430º,Dois Córregos,0725,0725,0853,0616
430º,Pinhalzinho,0725,0707,0808,0666
430º,Itapuí,0725,0716,0841,0633
430º,Vitória Brasil,0725,0686,0811,0685
430º,Pontal,0725,0718,0838,0633
430º,Pacaembu,0725,0717,0843,0631
442º,Lupércio,0724,0679,0830,0674
442º,Mesópolis,0724,0674,0847,0666
442º,Itirapina,0724,0734,0813,0636
442º,Mirante do Paranapanema,0724,0670,0841,0674
446º,Pitangueiras,0723,0699,0830,0651
446º,Taciba,0723,0682,0809,0684
446º,Jaci,0723,0700,0818,0659
446º,Gastão Vidigal,0723,0727,0817,0635
446º,São Sebastião da Grama,0723,0699,0820,0724
446º,Rinópolis,0723,0696,0843,0644
446º,São Francisco,0723,0705,0814,0658
452º,Trabiju,0722,0666,0811,0697
452º,Arco-Íris,0722,0671,0809,0694
452º,Cosmorama,0722,0705,0849,0630
452º,Alvinlândia,0722,0721,0791,0659
452º,Palmares Paulista,0722,0698,0837,0645
452º,Queluz,0722,0665,0823,0687
452º,Cardoso,0722,0695,0853,0636
452º,Panorama,0722,0695,0853,0636
460º,Ribeirão dos Índios,0721,0661,0809,0701
460º,Anhembi,0721,0681,0863,0637
460º,Aparecida d'Oeste,0721,0697,0804,0670
460º,Capão Bonito,0721,0675,0826,0671
460º,Lavínia,0721,0698,0820,0655
460º,Martinópolis,0721,0703,0832,0641
460º,Parisi,0721,0720,0842,0619
460º,Rubiácea,0721,0684,0820,0668
460º,Uchoa,0721,0708,0823,0644
469º,Itapura,0720,0682,0813,0673
469º,Lutécia,0720,0670,0846,0659
469º,Icém,0720,0716,0806,0646
469º,Caconde,0720,0701,0858,0620
469º,São João das Duas Pontes,0720,0675,0806,0686
469º,Cananéia,0720,0677,0806,0649
469º,São Bento do Sapucaí,0720,0719,0812,0638
476º,Gavião Peixoto,0719,0687,0802,0676
476º,Mombuca,0719,0746,0820,0607
476º,Guaraçaí,0719,0699,0803,0663
476º,Guariba,0719,0712,0811,0645
476º,Novais,0719,0712,0822,0634
476º,Iperó,0719,0680,0814,0672
476º,Angatuba,0719,0693,0827,0648
476º,Itaporanga,0719,0681,0835,0653
476º,Paraibuna,0719,0709,0815,0642
476º,Coroados,0719,0704,0816,0648
476º,Platina,0719,0691,0824,0652
476º,Planalto,0719,0683,0853,0639
476º,Salmourão,0719,0678,0846,0649
489º,Mariápolis,0718,0684,0830,0651
489º,Narandiba,0718,0659,0839,0670
489º,Dobrada,0718,0691,0818,0655
489º,Guará,0718,0710,0826,0630
489º,Paulistânia,0718,0683,0817,0663
494º,Paranapanema,0717,0697,0839,0631
494º,Itobi,0717,0697,0820,0646
494º,Jacupiranga,0717,0687,0832,0644
494º,Ocauçu,0717,0679,0830,0653
494º,Getulina,0717,0696,0813,0652
494º,Campina do Monte Alegre,0717,0687,0846,0634
500º,Piedade,0716,0694,0848,0624
500º,Júlio Mesquita,0716,0659,0813,0686
502º,Severínia,0715,0709,0807,0638
502º,Queiroz,0715,0662,0811,0681
502º,Pedregulho,0715,0716,0820,0623
502º,Nova Canaã Paulista,0715,0673,0806,0623
502º,Morungaba,0715,0726,0802,0627
502º,Flórida Paulista,0715,0702,0807,0646
502º,Aguaí,0715,0703,0858,0606
509º,Santo Antônio do Jardim,0714,0703,0835,0620
509º,Itaquaquecetuba,0714,0665,0844,0648
509º,Torre de Pedra,0714,0679,0829,0647
509º,Nantes,0714,0655,0790,0702
509º,Avaí,0714,0674,0830,0650
509º,Populina,0714,0699,0804,0647
515º,Florínea,0713,0678,0820,0652
515º,Guarantã,0713,0698,0832,0623
515º,Nipoã,0713,0701,0814,0636
515º,Cajuru,0713,0693,0825,0633
515º,Irapuã,0713,0688,0844,0624
515º,Bom Jesus dos Perdões,0713,0716,0802,0631
515º,Itaí,0713,0692,0830,0630
522º,Alambari,0712,0682,0805,0658
522º,Ribeirão Bonito,0712,0712,0811,0625
522º,Morro Agudo,0712,0716,0836,0604
522º,Biritiba Mirim,0712,0710,0795,0640
522º,Irapuru,0712,0691,0839,0622
522º,Uru,0712,0678,0832,0639
528º,Piquerobi,0711,0669,0836,0644
528º,Jaborandi,0711,0679,0845,0627
528º,Barão de Antonina,0711,0676,0820,0649
528º,Paulicéia,0711,0692,0811,0640
528º,Igaratá,0711,0683,0855,0616
528º,Ribeirão Corrente,0711,0688,0814,0642
534º,Ibiúna,0710,0700,0832,0614
534º,Colômbia,0710,0689,0802,0647
534º,Monteiro Lobato,0710,0692,0826,0627
534º,São Miguel Arcanjo,0710,0708,0799,0633
534º,Apiaí,0710,0662,0835,0647
534º,Timburi,0710,0688,0826,0629
534º,Brejo Alegre,0710,0702,0826,0618
534º,Taiaçu,0710,0701,0814,0628
542º,Taguaí,0709,0690,0818,0631
542º,Gália,0709,0684,0823,0634
542º,Juquitiba,0709,0680,0791,0662
542º,Sandovalina,0709,0665,0812,0659
546º,Ibirarema,0708,0692,0817,0628
546º,Conchal,0708,0699,0827,0614
548º,Sarapuí,0707,0699,0814,0621
550º,Campos Novos Paulista,0706,0670,0824,0638
550º,Itatinga,0706,0685,0841,0610
550º,Cesário Lange,0706,0715,0804,0611
550º,Santo Antônio do Pinhal,0706,0685,0812,0632
554º,Borebi,0705,0674,0846,0615
554º,Bofete,0705,0700,0821,0609
554º,Itaju,0705,0696,0823,0613
554º,Restinga,0705,0664,0826,0639
554º,Avanhandava,0705,0688,0817,0623
554º,Ribeirão Grande,0705,0643,0807,0676
560º,Euclides da Cunha Paulista,0704,0663,0802,0655
560º,Araçariguama,0704,0717,0814,0597
560º,Tabatinga,0704,0700,0818,0609
560º,Canas,0704,0646,0797,0677
560º,Salto Grande,0704,0664,0825,0637
565º,Iporanga,0703,0637,0816,0668
565º,Itararé,0703,0668,0803,0649
565º,Porangaba,0703,0696,0864,0578
565º,São Pedro do Turvo,0703,0661,0826,0636
565º,Fernão,0703,0668,0843,0617
565º,Jeriquara,0703,0680,0814,0628
565º,Riolândia,0703,0677,0817,0629
565º,Francisco Morato,0703,0659,0815,0647
565º,Ibaté,0703,0681,0814,0627
574º,Santo Antônio de Posse,0702,0718,0838,0576
574º,Pontalinda,0702,0677,0847,0604
574º,Santo Antônio da Alegria,0702,0690,0830,0604
574º,Luiziânia,0702,0682,0815,0623
578º,Taquarituba,0701,0700,0811,0606
578º,Pratânia,0701,0681,0798,0633
581º,Ubarana,0700,0672,0844,0604
581º,Juquiá,0700,0654,0823,0637
581º,Alto Alegre,0700,0683,0817,0616
IDH-M médio,IDH-M médio,IDH-M médio,IDH-M médio,IDH-M médio,IDH-M médio
584º,Barbosa,0699,0676,0843,0599
584º,Joanópolis,0699,0707,0824,0585
584º,Suzanápolis,0699,0665,0813,0631
584º,Capela do Alto,0699,0673,0823,0617
584º,Vargem,0699,0690,0839,0591
589º,Ribeira,0698,0635,0797,0673
590º,São Luiz do Paraitinga,0697,0691,0826,0593
590º,Guzolândia,0697,0676,0808,0621
590º,Areias,0697,0627,0803,0672
590º,Caiuá,0697,0665,0802,0635
590º,Miracatu,0697,0645,0803,0653
590º,Potim,0697,0651,0806,0646
596º,Espírito Santo do Turvo,0696,0675,0819,0609
596º,Pedro de Toledo,0696,0654,0812,0634
596º,Pracinha,0696,0658,0814,0629
599º,Elias Fausto,0695,0701,0822,0583
599º,Areiópolis,0695,0686,0823,0594
601º,Cajati,0694,0658,0832,0611
601º,Cabrália Paulista,0694,0667,0811,0619
603º,Itaberá,0693,0652,0803,0636
603º,Lagoinha,0693,0686,0797,0609
603º,São José da Bela Vista,0693,0679,0844,0580
606º,Ouro Verde,0692,0666,0814,0612
607º,Eldorado,0691,0633,0847,0615
608º,Pilar do Sul,0690,0674,0820,0594
608º,Coronel Macedo,0690,0653,0811,0619
610º,Sarutaiá,0688,0679,0794,0603
610º,Álvaro de Carvalho,0688,0669,0805,0605
612º,Guareí,0687,0692,0805,0583
612º,Altair,0687,0698,0800,0581
614º,Santa Maria da Serra,0686,0688,0820,0571
614º,Serra Azul,0686,0697,0810,0572
616º,Arandu,0685,0675,0806,0592
617º,São José do Barreiro,0684,0666,0813,0591
617º,Cunha,0684,0672,0826,0576
619º,Tapiraí,0681,0647,0846,0578
619º,Boa Esperança do Sul,0681,0692,0811,0562
621º,Arapeí,0680,0634,0812,0612
621º,Canitar,0680,0658,0791,0605
621º,Itaoca,0680,0627,0787,0637
624º,Taquarivaí,0679,0617,0811,0626
625º,Quadra,0678,0700,0822,0541
625º,Nazaré Paulista,0678,0681,0818,0559
625º,Silveiras,0678,0657,0812,0584
628º,Itariri,0677,0642,0837,0577
628º,Pedra Bela,0677,0671,0796,0581
628º,Marabá Paulista,0677,0650,0809,0591
631º,Guapiara,0675,0634,0806,0602
632º,Iaras,0674,0664,0848,0543
633º,Sete Barras,0673,0651,0832,0562
634º,Balbinos,0669,0690,0809,0537
635º,Tejupá,0668,0668,0794,0563
636º,Buri,0667,0642,0799,0578
637º,Riversul,0664,0634,0799,0577
638º,Itapirapuã Paulista,0661,0595,0816,0594
639º,Bom Sucesso de Itararé,0660,0605,0775,0613
639º,Barra do Chapéu,0660,0617,0779,0599
640º,Redenção da Serra,0657,0633,0799,0560
642º,Natividade da Serra,0655,0664,0814,0520
643º,Nova Campina,0651,0598,0799,0577
644º,Barra do Turvo,0641,0625,0792,0532
645º,Ribeirão Branco,0639,0592,0797,0553
IDH-M baixo,IDH-M baixo,IDH-M baixo,IDH-M baixo,IDH-M baixo,IDH-M baixo
nenhum município,nenhum município,nenhum município,nenhum município,nenhum município,nenhum município
IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo,IDH-M muito baixo
nenhum município,nenhum município,nenhum município,nenhum município,nenhum município,nenhum município
